"7501-20071117","AMAZING","SEAL","WARNER BROS","74","1"
"7501-19901208","CRAZY","SEAL","ZTT","45","1"
"7501-19951209","DON'T CRY/PRAYER FOR THE DYING","SEAL","ZTT","51","1"
"7501-19970329","FLY LIKE AN EAGLE","SEAL","ZTT","13","1"
"7501-19910504","FUTURE LOVE (EP)","SEAL","ZTT","21","1"
"7501-20030920","GET IT TOGETHER","SEAL","WARNER BROS","25","1"
"7501-19981114","HUMAN BEINGS","SEAL","WARNER BROS","50","1"
"7501-19911116","KILLER (EP)","SEAL","ZTT","14","1"
"7501-19950715","KISS FROM A ROSE/I'M ALIVE","SEAL","ZTT","14","6"
"7501-19940730","KISS FROM A ROSE","SEAL","ZTT","26","1"
"7501-20031122","LOVE'S DIVINE","SEAL","WARNER BROS","68","1"
"7501-19941105","NEWBORN FRIEND","SEAL","ZTT","45","1"
"7501-19940521","PRAYER FOR THE DYING","SEAL","ZTT","16","1"
"7501-20101002","SECRET","SEAL","REPRISE","82","1"
"7501-19910720","THE BEGINNING","SEAL","ZTT","41","1"
"7501-19920229","VIOLET","SEAL","ZTT","39","1"
"7501-20040410","WAITING FOR YOU/LOVE'S DIVINE","SEAL","WARNER BROS","80","1"
